Time,Winner,Rounds Played,P1,P2,P1 Dice,,,,,P2 Dice,,,,,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call,P1 Q call,P1 D call,P2 Q call,P2 D call
2022-11-02 17:47:11.514817,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,3,5,2,6,3,6,1,5,3,1,5,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:12.761602,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,2,1,4,6,4,2,5,6,1,5,2,6,3,2,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:14.016008,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,5,5,3,4,5,5,3,5,1,2,1,5,1,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:15.265873,Computer_omni,3,Computer_intelligent1,Computer_omni,6,1,3,5,1,3,4,4,3,3,1,5,2,4,p1_bl,,,,,,,,,,,,,,,
2022-11-02 17:47:16.524163,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,2,5,6,1,5,5,3,1,6,6,1,4,2,4,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:18.104905,Computer_omni,4,Computer_intelligent1,Computer_omni,5,1,4,1,6,2,4,3,4,6,2,6,3,1,4,5,p2_bw,,,,,,,,,,,,,
2022-11-02 17:47:18.976469,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,2,3,2,5,2,1,5,6,1,1,1,6,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:19.905025,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,5,2,2,3,1,2,4,3,5,1,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:21.165647,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,4,6,2,6,2,5,3,6,3,1,2,3,2,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:22.055318,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,2,3,4,3,4,5,5,1,1,1,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:22.983539,Computer_omni,2,Computer_intelligent1,Computer_omni,2,4,4,3,4,2,1,4,1,3,1,6,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:24.582185,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,3,1,6,3,5,4,4,6,3,2,1,3,2,6,3,3,p2_bl,,,,,,,,,,,,,
2022-11-02 17:47:25.823896,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,5,5,3,1,3,2,1,1,2,3,2,3,2,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:27.079888,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,6,4,1,3,1,4,5,5,6,6,1,2,2,2,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:28.024953,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,3,1,4,5,2,6,1,4,6,2,6,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:29.281351,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,5,2,3,2,6,2,2,4,3,5,2,4,3,3,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:30.521024,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,4,5,1,5,5,4,5,3,5,3,2,3,3,4,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:31.470627,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,4,6,6,4,6,1,6,6,1,1,1,4,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:32.338757,Computer_intelligent1,2,Computer_intelligent1,Computer_intelligent1,2,2,2,2,1,2,5,3,5,4,2,6,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:33.598049,Computer_omni,3,Computer_intelligent1,Computer_omni,5,3,2,2,4,5,6,1,6,1,2,5,2,6,p1_bl,,,,,,,,,,,,,,,
2022-11-02 17:47:34.558719,Computer_omni,2,Computer_intelligent1,Computer_omni,3,1,2,1,2,6,1,2,5,3,1,4,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:35.850689,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,6,1,1,4,2,5,2,4,5,3,2,3,4,1,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:36.738155,Computer_omni,2,Computer_intelligent1,Computer_omni,6,2,6,2,5,5,1,3,3,2,2,4,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:38.665498,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,5,3,6,3,5,2,6,4,5,1,1,4,1,5,1,6,2,2,p1_bw,,,,,,,,,,,
2022-11-02 17:47:39.957557,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,5,3,4,6,2,6,1,3,1,2,1,9,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:41.171072,Computer_intelligent1,3,Computer_intelligent1,Computer_omni,1,5,3,1,2,1,6,1,5,3,1,2,2,4,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:42.132806,Computer_omni,2,Computer_intelligent1,Computer_omni,4,3,6,5,3,3,2,2,1,2,2,6,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:43.763277,Computer_omni,4,Computer_intelligent1,Computer_omni,1,6,5,4,4,3,4,4,5,6,1,5,1,6,2,1,p2_bw,,,,,,,,,,,,,
2022-11-02 17:47:45.019312,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,6,6,6,2,5,6,1,3,5,1,4,5,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:46.296103,Computer_omni,3,Computer_intelligent1,Computer_omni,4,6,3,2,3,5,1,4,5,2,1,4,2,5,p1_bl,,,,,,,,,,,,,,,
2022-11-02 17:47:47.583811,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,2,6,1,6,3,4,4,3,1,2,2,2,3,1,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:49.529524,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,2,1,5,6,4,5,2,1,4,2,1,3,2,5,3,2,4,1,p1_bw,,,,,,,,,,,
2022-11-02 17:47:51.388846,Computer_intelligent1,5,Computer_intelligent1,Computer_omni,3,3,5,2,3,2,6,4,6,5,1,5,1,6,2,3,3,6,p1_bw,,,,,,,,,,,
2022-11-02 17:47:53.001890,Computer_omni,4,Computer_intelligent1,Computer_omni,5,2,2,4,1,5,5,6,3,6,1,3,2,5,3,4,p2_bw,,,,,,,,,,,,,
2022-11-02 17:47:53.966017,Computer_omni,2,Computer_intelligent1,Computer_omni,5,2,1,3,6,1,4,5,5,4,2,2,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:47:55.193027,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,1,1,2,4,2,5,6,4,4,4,1,4,9,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:56.138831,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,2,4,3,3,4,5,5,1,5,3,1,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:47:57.457155,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,5,1,3,2,1,3,1,5,4,6,2,6,3,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:47:58.436779,Computer_omni,2,Computer_intelligent1,Computer_omni,3,3,4,4,6,1,3,4,2,3,2,5,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:00.413670,Computer_intelligent1,5,Computer_intelligent1,Computer_intelligent1,2,4,4,6,1,4,2,2,2,1,1,4,1,6,2,1,2,3,p1_bw,,,,,,,,,,,
2022-11-02 17:48:01.711614,Computer_intelligent1,3,Computer_intelligent1,Computer_intelligent1,1,2,5,1,6,5,5,6,3,3,2,6,3,5,p1_bl,,,,,,,,,,,,,,,
2022-11-02 17:48:03.285017,Computer_omni,4,Computer_intelligent1,Computer_omni,2,4,3,2,1,1,1,5,1,5,1,3,1,5,1,6,p2_bw,,,,,,,,,,,,,
2022-11-02 17:48:04.276400,Computer_intelligent1,2,Computer_intelligent1,Computer_intelligent1,2,6,3,4,6,1,4,5,1,2,2,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:05.315148,Computer_intelligent1,2,Computer_intelligent1,Computer_drunk,1,6,5,2,1,4,4,2,2,3,1,2,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 17:48:06.312297,Computer_omni,2,Computer_intelligent1,Computer_omni,5,2,3,6,4,5,5,6,1,5,2,4,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:07.980681,Computer_omni,4,Computer_intelligent1,Computer_omni,6,1,4,2,2,4,3,5,3,3,1,6,2,2,3,1,p2_bw,,,,,,,,,,,,,
2022-11-02 17:48:08.976183,Computer_omni,2,Computer_intelligent1,Computer_omni,3,3,4,2,3,4,3,3,4,5,2,2,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:10.193834,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,1,6,5,4,6,4,4,1,2,4,1,4,10,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:48:11.465240,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,5,4,2,5,6,6,5,6,6,2,2,7,2,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:48:12.804138,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,3,2,1,1,6,6,6,2,4,4,1,6,2,5,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:48:15.091977,Computer_intelligent1,6,Computer_intelligent1,Computer_intelligent1,2,6,5,1,1,3,4,4,5,2,1,2,1,5,1,6,2,5,3,6,p2_bw,,,,,,,,,
2022-11-02 17:48:16.068342,Computer_omni,2,Computer_intelligent1,Computer_omni,6,4,2,4,6,6,3,1,5,1,2,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:17.004228,Computer_omni,2,Computer_intelligent1,Computer_omni,6,1,4,4,4,5,4,5,2,5,1,3,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 17:48:18.623750,Computer_intelligent1,4,Computer_intelligent1,Computer_intelligent1,1,4,6,6,4,5,6,6,2,3,1,3,1,6,2,4,p2_bl,,,,,,,,,,,,,
2022-11-02 17:48:20.331560,Computer_omni,4,Computer_intelligent1,Computer_omni,3,6,6,1,1,6,2,2,5,1,1,5,1,6,2,3,p2_bw,,,,,,,,,,,,,
2022-11-02 17:48:21.681018,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,5,1,5,4,2,2,1,2,6,2,2,4,10,1,p1_bw,,,,,,,,,,,,,,,
2022-11-02 17:48:23.016907,Computer_intelligent1,3,Computer_intelligent1,Computer_drunk,6,5,4,1,4,5,4,5,4,5,2,3,4,6,p1_bw,,,,,,,,,,,,,,,
2022-11-02 19:40:57.483264,Computer_intelligent1,2,Poanage,Computer_intelligent1,3,2,1,4,5,2,4,6,3,6,3,5,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 19:42:09.827985,Poanage,3,Poanage,Computer_intelligent1,5,1,6,1,3,3,6,3,2,6,3,6,4,3,p1_bw,,,,,,,,,,,,,,,
2022-11-02 19:42:24.053949,Poanage,2,Poanage,Computer_intelligent1,1,4,4,4,4,3,1,2,5,2,4,4,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:43:43.277830,Computer_intelligent1,4,Poanage,Computer_intelligent1,5,1,4,6,4,2,3,3,4,2,2,4,2,6,3,6,p2_bw,,,,,,,,,,,,,
2022-11-02 19:44:31.359202,Computer_intelligent1,4,Poanage,Computer_intelligent1,1,6,4,6,2,6,1,2,4,6,2,6,3,4,4,4,p2_bw,,,,,,,,,,,,,
2022-11-02 19:44:36.760891,Poanage,2,Poanage,Computer_intelligent1,3,3,6,3,1,4,6,2,2,6,3,3,p2_bl,,,,,,,,,,,,,,,,,
2022-11-02 19:44:45.691017,Computer_intelligent1,2,Poanage,Computer_intelligent1,5,5,6,1,1,4,2,5,3,1,5,5,p2_bw,,,,,,,,,,,,,,,,,
2022-11-02 19:45:01.704550,Poanage,3,Poanage,Computer_intelligent1,6,5,6,3,2,5,6,6,2,2,3,6,4,1,p1_bw,,,,,,,,,,,,,,,
